"zip_code","Population","MedianIncome","city","state","latitude","longitude"
92084,48275,50401,"Vista","CA",33.213309,-117.21474
92086,1335,33375,"Warner Springs","CA",33.337152,-116.69355
92091,1433,94318,"Rancho Santa Fe","CA",32.993541,-117.21311
92101,35893,52314,"San Diego","CA",32.719601,-117.16246
92102,44893,41575,"San Diego","CA",32.714992,-117.12537
92103,31927,65793,"San Diego","CA",32.746018,-117.16715
92104,44590,48733,"San Diego","CA",32.742892,-117.12774
92105,71334,36893,"San Diego","CA",32.741256,-117.0951
92106,19539,81973,"San Diego","CA",32.7259,-117.23079
92107,26947,66825,"San Diego","CA",32.7409,-117.24434
92108,19245,65297,"San Diego","CA",32.7736,-117.13785
92109,45304,67025,"San Diego","CA",32.791246,-117.24343
92110,28006,60920,"San Diego","CA",32.766482,-117.20077
92111,47590,55635,"San Diego","CA",32.804972,-117.16871
92113,57580,28185,"San Diego","CA",32.697402,-117.12001
92114,69305,57287,"San Diego","CA",32.706954,-117.0542
92115,61718,42828,"San Diego","CA",32.7603,-117.07031
92116,32943,54966,"San Diego","CA",32.76235,-117.12246
92117,53205,65319,"San Diego","CA",32.823865,-117.19966
92118,22664,90876,"Coronado","CA",32.682727,-117.17441
92119,23926,70261,"San Diego","CA",32.80225,-117.02431
92120,25365,79895,"San Diego","CA",32.794449,-117.07221
92121,4832,103598,"San Diego","CA",32.899996,-117.20722
92122,44602,71307,"San Diego","CA",32.856447,-117.21143
92123,29240,71911,"San Diego","CA",32.803799,-117.13595
92124,30196,80625,"San Diego","CA",32.822815,-117.09844
92126,78201,85707,"San Diego","CA",32.914346,-117.14116
92127,41900,123459,"San Diego","CA",33.022384,-117.10694
92128,49264,90298,"San Diego","CA",32.998855,-117.07054
92129,54664,109267,"San Diego","CA",32.961014,-117.1251
92130,50280,131166,"San Diego","CA",32.946776,-117.21918
92131,33868,119924,"San Diego","CA",32.918035,-117.08438
92132,0,0,"San Diego","CA",32.643703,-117.138414
92134,151,0,"San Diego","CA",32.562106,-117.07166
92135,955,0,"San Diego","CA",33.016928,-116.846046
92139,37450,59679,"San Diego","CA",32.677286,-117.05241
92140,2594,0,"San Diego","CA",32.74344,-117.200412
92145,1968,228587,"San Diego","CA",32.889139,-117.100486
92147,562,0,"San Diego","CA",33.016928,-116.846046
92154,86740,60162,"San Diego","CA",32.574398,-117.05633
92155,714,0,"San Diego","CA",32.671602,-117.165665
92173,31518,35745,"San Ysidro","CA",32.556264,-117.05057
92201,63915,40024,"Indio","CA",33.715271,-116.235
